Connected to tuneTrend.
BEGINNING CALCULATIONS!
DONE WITH CALCULATIONS!
BEGINNING ANALYSIS! 


Average derivative of average song popularity: -0.109547931007

Big Movers Positive: 	 All Day by: Kanye West with avg. popularity derivative: 8.0
Big Movers Positive: 	 All Day by: Theophilus London with avg. popularity derivative: 8.0
Big Movers Positive: 	 Higher - GRADES Remix by: Sigma with avg. popularity derivative: 6.0
Big Movers Positive: 	 All Day by: Yeezy with avg. popularity derivative: 4.5
Big Movers Positive: 	 Avalanche by: Walk the Moon with avg. popularity derivative: 4.125
Big Movers Positive: 	 Intoxicated - Original Mix by: Martin Solveig with avg. popularity derivative: 4.125
Big Movers Positive: 	 Young Again - Radio Edit by: Chris Young with avg. popularity derivative: 3.5
Big Movers Positive: 	 Jealous - The Rooftop Boys Remix by: Nick Jonas with avg. popularity derivative: 3.375
Big Movers Positive: 	 Afro-Blue by: Afro Blue with avg. popularity derivative: 3.25
Big Movers Positive: 	 Tell You Why by: Route 94 with avg. popularity derivative: 3.0
Big Movers Positive: 	 In My Heart by: Route 94 with avg. popularity derivative: 2.625
Big Movers Positive: 	 Als Zij Langsloopt by: Flinke Namen with avg. popularity derivative: 2.58333333333
Big Movers Positive: 	 Payback by: Kevin Gates with avg. popularity derivative: 2.5
Big Movers Positive: 	 Somebody Like You by: Keith Urban with avg. popularity derivative: 2.5
Big Movers Positive: 	 Go Time by: Greg Bates with avg. popularity derivative: 2.125
Big Movers Positive: 	 Vondeling by: Jawat with avg. popularity derivative: 2.0
Big Movers Positive: 	 Beautiful by: Christina Aguilera with avg. popularity derivative: 2.0
Big Movers Positive: 	 Sierra by: Maddie & Tae with avg. popularity derivative: 2.0
Big Movers Positive: 	 Half The Man by: Rozzi Crane with avg. popularity derivative: 1.875
Big Movers Positive: 	 Appa by: Appa with avg. popularity derivative: 1.875
Big Movers Positive: 	 Crazy Ass B*tch by: Rozzi Crane with avg. popularity derivative: 1.875
Big Movers Positive: 	 Black Bottles (feat. Migos) by: Migos with avg. popularity derivative: 1.875
Big Movers Positive: 	 Fly by: Maddie & Tae with avg. popularity derivative: 1.875
Big Movers Positive: 	 Rambo - Hardwell Edit by: Hardwell with avg. popularity derivative: 1.75
Big Movers Positive: 	 I Want It All by: Ashley Tisdale with avg. popularity derivative: 1.75
Big Movers Positive: 	 Brothers by: Greg Bates with avg. popularity derivative: 1.75
Big Movers Positive: 	 Fill In The Blank by: Greg Bates with avg. popularity derivative: 1.75
Big Movers Positive: 	 Famous - Edited by: Katy Tiz with avg. popularity derivative: 1.66666666667
Big Movers Positive: 	 Heart and Soul by: Kevin Jonas with avg. popularity derivative: 1.625
Big Movers Positive: 	 Dancing Crazy by: Miranda Cosgrove with avg. popularity derivative: 1.5
Big Movers Positive: 	 Listen to the Beethoven by: Mark Isham with avg. popularity derivative: 1.5
Big Movers Positive: 	 Everybody in Love by: JLS with avg. popularity derivative: 1.5
Big Movers Positive: 	 Your Side Of Town by: Maddie & Tae with avg. popularity derivative: 1.5
Big Movers Positive: 	 Warriors - Original Mix by: Nicky Romero with avg. popularity derivative: 1.5
Big Movers Positive: 	 Let Me Feel - Fedde Le Grand Remix by: Fedde Le Grand with avg. popularity derivative: 1.5
Big Movers Positive: 	 Halo by: Pitch Slapped with avg. popularity derivative: 1.5
Big Movers Positive: 	 Cool Kids by: The Cool Kids with avg. popularity derivative: 1.375
Big Movers Positive: 	 Psycho by: Rozzi Crane with avg. popularity derivative: 1.25
Big Movers Positive: 	 Alive by: Dami Im with avg. popularity derivative: 1.25
Big Movers Positive: 	 I Could Be the One by: Glen Templeton with avg. popularity derivative: 1.25
Big Movers Positive: 	 Perfect Imperfection by: Kevin Gates with avg. popularity derivative: 1.25
Big Movers Positive: 	 Lotgenoot by: Winne with avg. popularity derivative: 1.25
Big Movers Positive: 	 Right Here (Departed) by: Brandy with avg. popularity derivative: 1.125
Big Movers Positive: 	 Karma Police by: Radiohead with avg. popularity derivative: 1.125
Big Movers Positive: 	 Painkiller by: Rozzi Crane with avg. popularity derivative: 1.0
Big Movers Positive: 	 You And Your Friends (feat. Snoop Dogg & Ty Dolla $ign) by: Ty Dolla $ign with avg. popularity derivative: 1.0
Big Movers Positive: 	 2 Stars by: Meaghan Martin with avg. popularity derivative: 1.0
Big Movers Positive: 	 Hypnotized - feat. Akon Explicit by: Plies with avg. popularity derivative: 0.875
Big Movers Positive: 	 Somebody Loves You by: Betty Who with avg. popularity derivative: 0.875
Big Movers Positive: 	 100 Years by: Five For Fighting with avg. popularity derivative: 0.875
Big Movers Positive: 	 Can't Go Wrong by: DJ Cassidy with avg. popularity derivative: 0.75
Big Movers Positive: 	 Doing It (feat. Rita Ora) by: Charli XCX with avg. popularity derivative: 0.75
Big Movers Positive: 	 If I Had a Boat by: James Vincent McMorrow with avg. popularity derivative: 0.75
Big Movers Positive: 	 Bleeding Love by: Leona Lewis with avg. popularity derivative: 0.75
Big Movers Positive: 	 Escaping In A Bubble by: John Debney with avg. popularity derivative: 0.75
Big Movers Positive: 	 Christ Like by: L-T Terror with avg. popularity derivative: 0.75
Big Movers Positive: 	 Young Blood by: Bea Miller with avg. popularity derivative: 0.75
Big Movers Positive: 	 Doing It (feat. Rita Ora) by: Rita Ora with avg. popularity derivative: 0.75
Big Movers Positive: 	 Going To Sleep / Inside SpongeBob's Brain by: John Debney with avg. popularity derivative: 0.75
Big Movers Positive: 	 Big Girls Don't Cry (Personal) by: Fergie with avg. popularity derivative: 0.75
Big Movers Positive: 	 W.U.D.S.T.I.K. by: Wudstik with avg. popularity derivative: 0.75
Big Movers Positive: 	 Noteworthy by: Noteworthy with avg. popularity derivative: 0.75
Big Movers Positive: 	 Dracula by: Bea Miller with avg. popularity derivative: 0.75
Big Movers Positive: 	 Floss by: Gorilla Zoe with avg. popularity derivative: 0.625
Big Movers Positive: 	 A Sky Full of Stars by: Coldplay with avg. popularity derivative: 0.625
Big Movers Positive: 	 The Heart Of Dixie by: Danielle Bradbery with avg. popularity derivative: 0.625
Big Movers Positive: 	 Don't Wanna Lose You by: Gloria Estefan with avg. popularity derivative: 0.625
Big Movers Positive: 	 Golden State of Mind (feat. Dom Kennedy) by: Dom Kennedy with avg. popularity derivative: 0.625
Big Movers Positive: 	 Fire N Gold by: Bea Miller with avg. popularity derivative: 0.625
Big Movers Positive: 	 We Are Done by: The Madden Brothers with avg. popularity derivative: 0.625
Big Movers Positive: 	 House In The Hills (feat. Curren$y) by: Curren$y with avg. popularity derivative: 0.625
Big Movers Positive: 	 Missing by: Everything But The Girl with avg. popularity derivative: 0.625
Big Movers Positive: 	 Big Time Rush by: Big Time Rush with avg. popularity derivative: 0.583333333333
Big Movers Positive: 	 Down by: Jay Sean with avg. popularity derivative: 0.555555555556
Big Movers Positive: 	 Redneck Woman by: Gretchen Wilson with avg. popularity derivative: 0.533333333333
Big Movers Positive: 	 Who Says by: Selena Gomez & The Scene with avg. popularity derivative: 0.5
Big Movers Positive: 	 This Blue World by: Elbow with avg. popularity derivative: 0.5
Big Movers Positive: 	 MS&R: Balmoral Highlanders - Bogan Lochan - Pretty Marion. by: Marion Band$ with avg. popularity derivative: 0.5
Big Movers Positive: 	 Be Real by: Dej Loaf with avg. popularity derivative: 0.5
Big Movers Positive: 	 Time Will Tell (feat. Sonyae Elise) by: Sonyae Elise with avg. popularity derivative: 0.5
Big Movers Positive: 	 Clique by: Jay Sean with avg. popularity derivative: 0.5
Big Movers Positive: 	 Come Back Around by: Feeder with avg. popularity derivative: 0.5
Big Movers Positive: 	 Torturing Plankton / Refund by: John Debney with avg. popularity derivative: 0.5
Big Movers Positive: 	 Jump The Rhythm by: Jordan Pruitt with avg. popularity derivative: 0.5
Big Movers Positive: 	 Move Together by: James Bay with avg. popularity derivative: 0.5
Big Movers Positive: 	 Fate and Destiny by: Patrick Doyle with avg. popularity derivative: 0.5
Big Movers Positive: 	 Madrid by: Yellowcard with avg. popularity derivative: 0.5
Big Movers Positive: 	 Getting The Key / Plankton Rescues Karen by: John Debney with avg. popularity derivative: 0.5
Big Movers Positive: 	 Santa Baby by: Kellie Pickler with avg. popularity derivative: 0.5
Big Movers Positive: 	 Mirrors by: Natalia Kills with avg. popularity derivative: 0.5
Big Movers Positive: 	 Laat Me - from The voice of Holland by: Wudstik with avg. popularity derivative: 0.5
Big Movers Positive: 	 Burger Beard Starts To Read Story by: John Debney with avg. popularity derivative: 0.5
Big Movers Positive: 	 Enemy Fire by: Bea Miller with avg. popularity derivative: 0.5
Big Movers Positive: 	 Find You by: Zedd with avg. popularity derivative: 0.5
Big Movers Positive: 	 Right Where I Need To Be by: Gary Allan with avg. popularity derivative: 0.5
