Iggy Azalea,spotify:artist:5yG7ZAZafVaAlMTeBybKAL,5yG7ZAZafVaAlMTeBybKAL,88,1103820
Nicki Minaj,spotify:artist:0hCNtLu0JehylgoiP8L4Gh,0hCNtLu0JehylgoiP8L4Gh,96,3045432
Azealia Banks,spotify:artist:7gRhy3MIPHQo5CXYfWaw9I,7gRhy3MIPHQo5CXYfWaw9I,70,182377
Kreayshawn,spotify:artist:51xJF4OqJPHWop1fv0VVyd,51xJF4OqJPHWop1fv0VVyd,55,57801
Ariana Grande,spotify:artist:66CXWjxzNUsdJxJ2JdwvnR,66CXWjxzNUsdJxJ2JdwvnR,95,1950641
Becky G,spotify:artist:4obzFoKoKRHIphyHzJ35G3,4obzFoKoKRHIphyHzJ35G3,78,316998
Rye Rye,spotify:artist:0S05AeePINj4CeTVMfysIu,0S05AeePINj4CeTVMfysIu,56,10110
Charli XCX,spotify:artist:25uiPmTg16RbhZWAqwLBy5,25uiPmTg16RbhZWAqwLBy5,86,287522
Kat Dahlia,spotify:artist:1peH5tSqnYm8W6Bo3I5egE,1peH5tSqnYm8W6Bo3I5egE,73,38931
Lil Mama,spotify:artist:5qK5bOC6wLtuLhG5KvU17c,5qK5bOC6wLtuLhG5KvU17c,52,13134
Rihanna,spotify:artist:5pKCCKE2ajJHZ9KAiaK11H,5pKCCKE2ajJHZ9KAiaK11H,95,5064044
Rita Ora,spotify:artist:5CCwRZC6euC8Odo6y9X8jr,5CCwRZC6euC8Odo6y9X8jr,81,435733
Jessie J,spotify:artist:2gsggkzM5R49q6jpPvazou,2gsggkzM5R49q6jpPvazou,87,1107519
Ester Dean,spotify:artist:0v2Y5jwtcv8LiWNTRls1KM,0v2Y5jwtcv8LiWNTRls1KM,62,21395
Angel Haze,spotify:artist:2cyyGl4qnHZL0o16t0fpJl,2cyyGl4qnHZL0o16t0fpJl,64,42341
Fergie,spotify:artist:3r17AfJCCUqC9Lf0OAc73G,3r17AfJCCUqC9Lf0OAc73G,79,206129
